Product_ID,Product Name,Brand,Category,Subcategory,Pack Size,MRP ,Price ,SKU,Description,Image URL / Product Link
P000001,India Gate Everyday Basmati Rice,India Gate,Food & Grocery,Basmati Rice,1 kg,110,89,BAS-IG-EVR-1KG,"Aged basmati rice with fluffy grains and a delicate aroma, suitable for everyday meals.",https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQheuzye4oHgFCPRHNyHJWq5urG1f2mm1oYJm4B93TjWyi-cg
P000002,India Gate Everyday Basmati Rice,India Gate,Food & Grocery,Basmati Rice,5 kg,520,399,BAS-IG-EVR-5KG,"Aged basmati rice designed for regular cooking, with fluffy grains and aromatic flavour.",https://www.indiagatefoods.com/wp-content/uploads/2023/03/IG-Everyday-1kg-front-1.webp
P000003,India Gate Everyday Basmati Rice,India Gate,Food & Grocery,Basmati Rice,10 kg,990,749,BAS-IG-EVR-10KG,Everyday basmati rice sourced from the basmati-growing region of North-Western India.,https://www.indiagatefoods.com/wp-content/uploads/2023/03/IG-Everyday-1kg-front-1.webp
P000004,India Gate Classic Basmati Rice,India Gate,Food & Grocery,Basmati Rice,1 kg,250,195,BAS-IG-CLS-1KG,"Long, fine, pearl-white basmati grains with delicate aroma and fluffy, non-sticky texture.",https://www.indiagatefoods.com/wp-content/uploads/2025/05/IG-Classic-5kg-fr.webp
P000005,India Gate Classic Basmati Rice,India Gate,Food & Grocery,Basmati Rice,5 kg,"1,150",899,BAS-IG-CLS-5KG,"Premium aged basmati suitable for biryani, pulao and special meals.",https://www.indiagatefoods.com/wp-content/uploads/2025/05/IG-Classic-5kg-fr.webp
P000006,India Gate Classic Basmati Rice,India Gate,Food & Grocery,Basmati Rice,10 kg,"2,100","1,699",BAS-IG-CLS-10KG,"Extra-long, smooth grains with aromatic flavour and non-sticky cooking characteristics.",https://www.indiagatefoods.com/wp-content/uploads/2025/05/IG-Classic-5kg-fr.webp
P000007,India Gate Super Basmati Rice,India Gate,Food & Grocery,Basmati Rice,1 kg,260,199,BAS-IG-SUP-1KG,"Quality basmati rice with long grains, suitable for everyday and special rice dishes.",https://www.indiagatefoods.com/wp-content/uploads/2025/05/IG-Super-1kg-front.webp
P000008,India Gate Super Basmati Rice,India Gate,Food & Grocery,Basmati Rice,5 kg,350,261,BAS-IG-SUP-5KG,Long-grain basmati rice processed and packed under hygienic quality standards.,https://www.indiagatefoods.com/wp-content/uploads/2025/05/IG-Super-1kg-front.webp
P000009,India Gate Biryani Basmati Rice,India Gate,Food & Grocery,Basmati Rice,1 kg,260,199,BAS-IG-BRY-1KG,"Basmati rice intended for biryani, offering aromatic long grains and separate cooking.",https://www.indiagatefoods.com/wp-content/uploads/2025/04/IG-Biryani-1kg-front.webp
P000010,India Gate Biryani Basmati Rice,India Gate,Food & Grocery,Basmati Rice,5 kg,"1,150",899,BAS-IG-BRY-5KG,Basmati rice specifically positioned for biryani and other aromatic rice preparations.,https://www.indiagatefoods.com/wp-content/uploads/2025/04/IG-Biryani-1kg-front.webp
